SubCategory,Type,Name,Docstring,File,Args
1. Dataset Construction,Class,ConcatDatasetBuilder,Concatenates DatasetBuilders such that they can be loaded together.,src\uni2ts\data\builder\_base.py,
1. Dataset Construction,Method,ConcatDatasetBuilder.__init__,:param builders: DatasetBuilders to be concatenated together.,src\uni2ts\data\builder\_base.py,
1. Dataset Construction,Method,ConcatDatasetBuilder.build_dataset,,src\uni2ts\data\builder\_base.py,
1. Dataset Construction,Method,ConcatDatasetBuilder.load_dataset,Loads all builders with ConcatDataset.,src\uni2ts\data\builder\_base.py,transform_map
1. Dataset Construction,Class,DatasetBuilder,Base class for DatasetBuilders.,src\uni2ts\data\builder\_base.py,
1. Dataset Construction,Method,DatasetBuilder.build_dataset,Builds the dataset into the required file format.,src\uni2ts\data\builder\_base.py,
1. Dataset Construction,Method,DatasetBuilder.load_dataset,Load the dataset.,src\uni2ts\data\builder\_base.py,transform_map
1. Dataset Construction,Class,LOTSADatasetBuilder,Base class for LOTSA dataset builders.,src\uni2ts\data\builder\lotsa_v1\_base.py,
1. Dataset Construction,Method,LOTSADatasetBuilder.__init__,:param datasets: list of datasets to load,src\uni2ts\data\builder\lotsa_v1\_base.py,"datasets, weight_map, sample_time_series, storage_path"
1. Dataset Construction,Method,LOTSADatasetBuilder.load_dataset,Loads all datasets in dataset_list,src\uni2ts\data\builder\lotsa_v1\_base.py,transform_map
1. Dataset Construction,Class,Buildings900KDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\buildings_bench.py,
1. Dataset Construction,Method,Buildings900KDatasetBuilder.build_dataset,,src\uni2ts\data\builder\lotsa_v1\buildings_bench.py,"dataset, num_proc"
1. Dataset Construction,Class,BuildingsBenchDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\buildings_bench.py,
1. Dataset Construction,Method,BuildingsBenchDatasetBuilder.build_dataset,,src\uni2ts\data\builder\lotsa_v1\buildings_bench.py,dataset
1. Dataset Construction,Class,CloudOpsTSFDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\cloudops_tsf.py,
1. Dataset Construction,Method,CloudOpsTSFDatasetBuilder.build_dataset,,src\uni2ts\data\builder\lotsa_v1\cloudops_tsf.py,"dataset, num_proc"
1. Dataset Construction,Class,CMIP6DatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\cmip6.py,
1. Dataset Construction,Method,CMIP6DatasetBuilder.build_dataset,,src\uni2ts\data\builder\lotsa_v1\cmip6.py,"dataset, num_proc"
1. Dataset Construction,Class,ERA5DatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\era5.py,
1. Dataset Construction,Method,ERA5DatasetBuilder.build_dataset,,src\uni2ts\data\builder\lotsa_v1\era5.py,"dataset, num_proc"
1. Dataset Construction,Class,GluonTSDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\gluonts.py,
1. Dataset Construction,Method,GluonTSDatasetBuilder.build_dataset,,src\uni2ts\data\builder\lotsa_v1\gluonts.py,dataset
1. Dataset Construction,Function,default_prediction_length_from_frequency,,src\uni2ts\data\builder\lotsa_v1\gluonts.py,freq
1. Dataset Construction,Function,generate_forecasting_dataset,,src\uni2ts\data\builder\lotsa_v1\gluonts.py,"dataset_path, dataset_name, dataset_writer, prediction_length"
1. Dataset Construction,Class,LargeSTDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\largest.py,
1. Dataset Construction,Method,LargeSTDatasetBuilder.build_dataset,,src\uni2ts\data\builder\lotsa_v1\largest.py,"dataset, num_proc"
1. Dataset Construction,Class,LibCityDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\lib_city.py,
1. Dataset Construction,Method,LibCityDatasetBuilder.build_dataset,,src\uni2ts\data\builder\lotsa_v1\lib_city.py,"dataset, num_proc"
1. Dataset Construction,Class,OthersLOTSADatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\others.py,
1. Dataset Construction,Method,OthersLOTSADatasetBuilder.build_dataset,,src\uni2ts\data\builder\lotsa_v1\others.py,dataset
1. Dataset Construction,Function,_get_beijing_air_quality_gen_func,,src\uni2ts\data\builder\lotsa_v1\others.py,data_path
1. Dataset Construction,Function,_get_china_air_quality_gen_func,,src\uni2ts\data\builder\lotsa_v1\others.py,data_path
1. Dataset Construction,Function,_get_favorita_sales_gen_func,,src\uni2ts\data\builder\lotsa_v1\others.py,"data_path, length_threshold, missing_threshold"
1. Dataset Construction,Function,_get_favorita_transactions_gen_func,,src\uni2ts\data\builder\lotsa_v1\others.py,data_path
1. Dataset Construction,Function,_get_hierarchical_sales_gen_func,,src\uni2ts\data\builder\lotsa_v1\others.py,data_path
1. Dataset Construction,Function,_get_kdd_2022_gen_func,,src\uni2ts\data\builder\lotsa_v1\others.py,data_path
1. Dataset Construction,Function,_get_project_tycho_gen_func,,src\uni2ts\data\builder\lotsa_v1\others.py,"data_path, length_threshold, missing_threshold"
1. Dataset Construction,Function,_get_residential_load_power_gen_func,,src\uni2ts\data\builder\lotsa_v1\others.py,data_path
1. Dataset Construction,Function,_get_residential_pv_power_gen_func,,src\uni2ts\data\builder\lotsa_v1\others.py,data_path
1. Dataset Construction,Function,_get_restaurant_gen_func,,src\uni2ts\data\builder\lotsa_v1\others.py,"data_path, missing_threshold"
1. Dataset Construction,Class,ProEnFoDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\proenfo.py,
1. Dataset Construction,Method,ProEnFoDatasetBuilder.build_dataset,,src\uni2ts\data\builder\lotsa_v1\proenfo.py,dataset
1. Dataset Construction,Function,_get_bull_gen_func,,src\uni2ts\data\builder\lotsa_v1\proenfo.py,proenfo_path
1. Dataset Construction,Function,_get_cockatoo_gen_func,,src\uni2ts\data\builder\lotsa_v1\proenfo.py,proenfo_path
1. Dataset Construction,Function,_get_covid19_energy_gen_func,,src\uni2ts\data\builder\lotsa_v1\proenfo.py,proenfo_path
1. Dataset Construction,Function,_get_elf_gen_func,,src\uni2ts\data\builder\lotsa_v1\proenfo.py,proenfo_path
1. Dataset Construction,Function,_get_gfc12_load_gen_func,,src\uni2ts\data\builder\lotsa_v1\proenfo.py,proenfo_path
1. Dataset Construction,Function,_get_gfc14_load_gen_func,,src\uni2ts\data\builder\lotsa_v1\proenfo.py,proenfo_path
1. Dataset Construction,Function,_get_gfc17_load_gen_func,,src\uni2ts\data\builder\lotsa_v1\proenfo.py,proenfo_path
1. Dataset Construction,Function,_get_hog_gen_func,,src\uni2ts\data\builder\lotsa_v1\proenfo.py,proenfo_path
1. Dataset Construction,Function,_get_pdb_gen_func,,src\uni2ts\data\builder\lotsa_v1\proenfo.py,proenfo_path
1. Dataset Construction,Function,_get_spain_gen_func,,src\uni2ts\data\builder\lotsa_v1\proenfo.py,proenfo_path
1. Dataset Construction,Class,SubseasonalDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\subseasonal.py,
1. Dataset Construction,Method,SubseasonalDatasetBuilder.build_dataset,,src\uni2ts\data\builder\lotsa_v1\subseasonal.py,dataset
1. Dataset Construction,Function,_get_subseasonal_gen_func,,src\uni2ts\data\builder\lotsa_v1\subseasonal.py,
1. Dataset Construction,Function,_get_subseasonal_precip_gen_func,,src\uni2ts\data\builder\lotsa_v1\subseasonal.py,
1. Dataset Construction,Class,SimpleDatasetBuilder,,src\uni2ts\data\builder\simple.py,
1. Dataset Construction,Method,SimpleDatasetBuilder.build_dataset,,src\uni2ts\data\builder\simple.py,"file, dataset_type, offset, date_offset, freq"
1. Dataset Construction,Method,SimpleDatasetBuilder.load_dataset,,src\uni2ts\data\builder\simple.py,transform_map
1. Dataset Construction,Class,SimpleEvalDatasetBuilder,,src\uni2ts\data\builder\simple.py,
1. Dataset Construction,Method,SimpleEvalDatasetBuilder.build_dataset,,src\uni2ts\data\builder\simple.py,"file, dataset_type, freq, mean, std"
1. Dataset Construction,Method,SimpleEvalDatasetBuilder.load_dataset,,src\uni2ts\data\builder\simple.py,transform_map
1. Dataset Construction,Class,SimpleFinetuneDatasetBuilder,,src\uni2ts\data\builder\simple.py,
1. Dataset Construction,Method,SimpleFinetuneDatasetBuilder.build_dataset,,src\uni2ts\data\builder\simple.py,"file, dataset_type, offset, date_offset, freq, normalize"
1. Dataset Construction,Method,SimpleFinetuneDatasetBuilder.load_dataset,,src\uni2ts\data\builder\simple.py,transform_map
1. Dataset Construction,Method,SimpleFinetuneDatasetBuilder.scale,,src\uni2ts\data\builder\simple.py,"data, start, end"
1. Dataset Construction,Function,_from_long_dataframe,,src\uni2ts\data\builder\simple.py,"df, offset, date_offset, freq"
1. Dataset Construction,Function,_from_wide_dataframe,,src\uni2ts\data\builder\simple.py,"df, offset, date_offset, freq"
1. Dataset Construction,Function,_from_wide_dataframe_multivariate,,src\uni2ts\data\builder\simple.py,"df, offset, date_offset, freq"
1. Dataset Construction,Function,generate_eval_builder,"By default, 'distance' is set to prediction length for rolling evaluation.",src\uni2ts\data\builder\simple.py,"dataset, offset, eval_length, prediction_length, context_length, patch_size, mode, storage_path, distance"
1. Dataset Construction,Function,generate_eval_builders,,src\uni2ts\data\builder\simple.py,"dataset, offset, eval_length, prediction_lengths, context_lengths, patch_sizes, storage_path"
1. Dataset Construction,Function,generate_finetune_builder,"By default, 'distance' is set to 1 for sliding window. A larger value can be used to reduce computational cost.",src\uni2ts\data\builder\simple.py,"dataset, train_length, prediction_length, context_length, patch_size, mode, storage_path, distance"
1. Dataset Construction,Function,test_dataset_builder,,test\data\builder\test_base.py,airpassengers_dataset_builder
1. Dataset Construction,Function,test_simple_dataset_builder_long,,test\data\builder\test_simple.py,"tmp_path_factory, get_long_df, offset, date_offset"
1. Dataset Construction,Function,test_simple_dataset_builder_wide,,test\data\builder\test_simple.py,"tmp_path_factory, get_wide_df, multivariate, offset, date_offset"
2. Patching & Batching,Function,_get_cdc_fluview_ilinet_gen_func,,src\uni2ts\data\builder\lotsa_v1\others.py,data_path
2. Patching & Batching,Function,_get_cdc_fluview_who_nrevss_gen_func,,src\uni2ts\data\builder\lotsa_v1\others.py,data_path
2. Patching & Batching,Class,Collate,A Callable abstract class for PyTorch DataLoader's collate_fn argument.,src\uni2ts\data\loader.py,
2. Patching & Batching,Class,PackCollate,Packs uneven sequences with the first fit decreasing bin packing strategy.,src\uni2ts\data\loader.py,
2. Patching & Batching,Method,PackCollate.first_fit_decreasing_bin_packing,Implements the first fit decreasing bin packing strategy.,src\uni2ts\data\loader.py,batch
2. Patching & Batching,Method,PackCollate.get_sample_id,Create an array of integers representing the sample id in a sequence.,src\uni2ts\data\loader.py,"batch, bin_spaces"
2. Patching & Batching,Method,PackCollate.merge_batch,Combines packed samples into BatchedSample format.,src\uni2ts\data\loader.py,"batch, bin_spaces"
2. Patching & Batching,Class,PadCollate,Pads uneven sequences with padding function defined by pad_func_map.,src\uni2ts\data\loader.py,
2. Patching & Batching,Method,PadCollate.get_sample_id,,src\uni2ts\data\loader.py,batch
2. Patching & Batching,Method,PadCollate.pad_samples,,src\uni2ts\data\loader.py,batch
2. Patching & Batching,Class,EvalPad,,src\uni2ts\transform\pad.py,
2. Patching & Batching,Method,EvalPad.map,,src\uni2ts\transform\pad.py,"data_entry, field"
2. Patching & Batching,Class,Pad,,src\uni2ts\transform\pad.py,
2. Patching & Batching,Method,Pad.map,,src\uni2ts\transform\pad.py,"data_entry, field"
2. Patching & Batching,Class,PadFreq,,src\uni2ts\transform\pad.py,
2. Patching & Batching,Method,PadFreq.map,,src\uni2ts\transform\pad.py,"data_entry, field"
2. Patching & Batching,Class,DefaultPatchSizeConstraints,,src\uni2ts\transform\patch.py,
2. Patching & Batching,Class,FixedPatchSizeConstraints,,src\uni2ts\transform\patch.py,
2. Patching & Batching,Class,GetPatchSize,,src\uni2ts\transform\patch.py,
2. Patching & Batching,Class,PatchSizeConstraints,,src\uni2ts\transform\patch.py,
2. Patching & Batching,Class,Patchify,,src\uni2ts\transform\patch.py,
2. Patching & Batching,Class,FlatPackCollection,,src\uni2ts\transform\reshape.py,
2. Patching & Batching,Class,FlatPackFields,,src\uni2ts\transform\reshape.py,
2. Patching & Batching,Method,FlatPackFields.pop_field,,src\uni2ts\transform\reshape.py,"data_entry, field"
2. Patching & Batching,Class,PackCollection,,src\uni2ts\transform\reshape.py,
2. Patching & Batching,Class,PackFields,,src\uni2ts\transform\reshape.py,
2. Patching & Batching,Method,PackFields.pop_field,,src\uni2ts\transform\reshape.py,"data_entry, field"
2. Patching & Batching,Class,SequencifyField,,src\uni2ts\transform\reshape.py,
2. Patching & Batching,Class,Transpose,,src\uni2ts\transform\reshape.py,
2. Patching & Batching,Method,Transpose.transpose,,src\uni2ts\transform\reshape.py,"data_entry, field"
2. Patching & Batching,Function,test_packing_multi_dim,,test\data\test_loader.py,"create_example, target_dim, past_feat_dynamic_real_dim"
2. Patching & Batching,Function,test_packing_single_dim,,test\data\test_loader.py,"create_example, batch_size, batch_size_factor"
2. Patching & Batching,Function,test_pad,,test\transform\test_pad.py,"min_length, target_length, dim"
2. Patching & Batching,Function,test_pad_freq,,test\transform\test_pad.py,"min_length, target_length, dim"
2. Patching & Batching,Function,test_patch_eval_pad,,test\transform\test_pad.py,"prediction_length, context_length, patch_size, dim"
2. Patching & Batching,Function,fixed_patch_size_constraints,,test\transform\test_patch.py,"start, stop"
2. Patching & Batching,Function,test_default_patch_size_constraints,,test\transform\test_patch.py,freq
2. Patching & Batching,Function,test_get_patch_size,,test\transform\test_patch.py,"create_data_entry, freq, patch_sizes, patch_size_constraints, expectation"
2. Patching & Batching,Function,test_patchify,,test\transform\test_patch.py,"create_data_entry, target_dim"
2. Patching & Batching,Function,test_flat_pack_collection,,test\transform\test_reshape.py,"lengths, dims, patch_size"
2. Patching & Batching,Function,test_flat_pack_fields,,test\transform\test_reshape.py,"length, output_field, field_dim_mapping, optional_field_dim_mapping, patch_size"
2. Patching & Batching,Function,test_pack_collection,,test\transform\test_reshape.py,"length, dims, patch_size"
2. Patching & Batching,Function,test_pack_fields,,test\transform\test_reshape.py,"length, output_field, field_dim_mapping, optional_field_dim_mapping, patch_size"
2. Patching & Batching,Function,test_patch_size_sequence,,test\transform\test_reshape.py,"create_data_entry, length, target_dim"
3. Cropping & Windowing,Class,SliceableBatchedSample,A BatchedSample that can be sliced.,src\uni2ts\data\loader.py,
3. Cropping & Windowing,Class,EvalCrop,,src\uni2ts\transform\crop.py,
