SubCategory,Name,Docstring,File
1. Dataset Construction,Buildings900KDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\buildings_bench.py
1. Dataset Construction,BuildingsBenchDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\buildings_bench.py
1. Dataset Construction,CMIP6DatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\cmip6.py
1. Dataset Construction,CloudOpsTSFDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\cloudops_tsf.py
1. Dataset Construction,ConcatDatasetBuilder,Concatenates DatasetBuilders such that they can be loaded together.,src\uni2ts\data\builder\_base.py
1. Dataset Construction,DatasetBuilder,Base class for DatasetBuilders.,src\uni2ts\data\builder\_base.py
1. Dataset Construction,ERA5DatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\era5.py
1. Dataset Construction,GluonTSDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\gluonts.py
1. Dataset Construction,LOTSADatasetBuilder,Base class for LOTSA dataset builders.,src\uni2ts\data\builder\lotsa_v1\_base.py
1. Dataset Construction,LargeSTDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\largest.py
1. Dataset Construction,LibCityDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\lib_city.py
1. Dataset Construction,OthersLOTSADatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\others.py
1. Dataset Construction,ProEnFoDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\proenfo.py
1. Dataset Construction,SimpleDatasetBuilder,,src\uni2ts\data\builder\simple.py
1. Dataset Construction,SimpleEvalDatasetBuilder,,src\uni2ts\data\builder\simple.py
1. Dataset Construction,SimpleFinetuneDatasetBuilder,,src\uni2ts\data\builder\simple.py
1. Dataset Construction,SubseasonalDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\subseasonal.py
1. Dataset Construction,default_prediction_length_from_frequency,,src\uni2ts\data\builder\lotsa_v1\gluonts.py
1. Dataset Construction,generate_eval_builder,"By default, 'distance' is set to prediction length for rolling evaluation.",src\uni2ts\data\builder\simple.py
1. Dataset Construction,generate_eval_builders,,src\uni2ts\data\builder\simple.py
1. Dataset Construction,generate_finetune_builder,"By default, 'distance' is set to 1 for sliding window. A larger value can be used to reduce computational cost.",src\uni2ts\data\builder\simple.py
1. Dataset Construction,generate_forecasting_dataset,,src\uni2ts\data\builder\lotsa_v1\gluonts.py
2. Patching & Batching,Collate,A Callable abstract class for PyTorch DataLoader's collate_fn argument.,src\uni2ts\data\loader.py
2. Patching & Batching,DefaultPatchSizeConstraints,,src\uni2ts\transform\patch.py
2. Patching & Batching,EvalPad,,src\uni2ts\transform\pad.py
2. Patching & Batching,FixedPatchSizeConstraints,,src\uni2ts\transform\patch.py
2. Patching & Batching,FlatPackCollection,,src\uni2ts\transform\reshape.py
2. Patching & Batching,FlatPackFields,,src\uni2ts\transform\reshape.py
2. Patching & Batching,GetPatchSize,,src\uni2ts\transform\patch.py
2. Patching & Batching,PackCollate,Packs uneven sequences with the first fit decreasing bin packing strategy.,src\uni2ts\data\loader.py
2. Patching & Batching,PackCollection,,src\uni2ts\transform\reshape.py
2. Patching & Batching,PackFields,,src\uni2ts\transform\reshape.py
2. Patching & Batching,Pad,,src\uni2ts\transform\pad.py
2. Patching & Batching,PadCollate,Pads uneven sequences with padding function defined by pad_func_map.,src\uni2ts\data\loader.py
2. Patching & Batching,PadFreq,,src\uni2ts\transform\pad.py
2. Patching & Batching,PatchSizeConstraints,,src\uni2ts\transform\patch.py
2. Patching & Batching,Patchify,,src\uni2ts\transform\patch.py
2. Patching & Batching,SequencifyField,,src\uni2ts\transform\reshape.py
2. Patching & Batching,Transpose,,src\uni2ts\transform\reshape.py
3. Cropping & Windowing,EvalCrop,,src\uni2ts\transform\crop.py
3. Cropping & Windowing,FinetunePatchCrop,"Similar to EvalCrop, crop training samples based on specific context_length and prediction_length",src\uni2ts\transform\crop.py
3. Cropping & Windowing,PatchCrop,Crop fields in a data_entry in the temporal dimension based on a patch_size.,src\uni2ts\transform\crop.py
3. Cropping & Windowing,SliceableBatchedSample,A BatchedSample that can be sliced.,src\uni2ts\data\loader.py
4. Transformations (General),ApplyFuncMixin,,src\uni2ts\transform\_mixin.py
4. Transformations (General),CausalMeanImputation,This class replaces each missing value with the average of all the values,src\uni2ts\transform\imputation.py
4. Transformations (General),Chain,Chain multiple transformations together.,src\uni2ts\transform\_base.py
4. Transformations (General),CheckArrNDimMixin,,src\uni2ts\transform\_mixin.py
4. Transformations (General),CollectFuncMixin,,src\uni2ts\transform\_mixin.py
4. Transformations (General),Downsample,,src\uni2ts\transform\resample.py
4. Transformations (General),DummyValueImputation,,src\uni2ts\transform\imputation.py
4. Transformations (General),EvalMaskedPrediction,,src\uni2ts\transform\task.py
4. Transformations (General),ExtendMask,,src\uni2ts\transform\task.py
4. Transformations (General),Identity,,src\uni2ts\transform\_base.py
4. Transformations (General),ImputationMethod,,src\uni2ts\transform\imputation.py
4. Transformations (General),ImputeTimeSeries,,src\uni2ts\transform\imputation.py
4. Transformations (General),LambdaSetFieldIfNotPresent,,src\uni2ts\transform\field.py
4. Transformations (General),LastValueImputation,,src\uni2ts\transform\imputation.py
4. Transformations (General),MaskedPrediction,,src\uni2ts\transform\task.py
4. Transformations (General),SampleDimension,,src\uni2ts\transform\resample.py
4. Transformations (General),SelectFields,,src\uni2ts\transform\field.py
4. Transformations (General),SetValue,,src\uni2ts\transform\field.py
4. Transformations (General),Subsample,,src\uni2ts\transform\resample.py
4. Transformations (General),Transformation,,src\uni2ts\transform\_base.py
4. Transformations (General),Upsample,,src\uni2ts\transform\resample.py
4. Transformations (Map/Filter),GaussianFilterSubsample,,src\uni2ts\transform\resample.py
4. Transformations (Map/Filter),MapFuncMixin,,src\uni2ts\transform\_mixin.py
5. Dataset Core,EvalDataset,Dataset class for validation.,src\uni2ts\data\dataset.py
5. Dataset Core,FinetuneDataset,This class is identical to EvalDataset. It is created solely to avoid confusion due to naming.,src\uni2ts\data\dataset.py
5. Dataset Core,HFDataset,,src\uni2ts\eval_util\_hf_dataset.py
5. Dataset Core,HuggingFaceDatasetIndexer,Indexer for Hugging Face Datasets,src\uni2ts\data\indexer\hf_dataset_indexer.py
5. Dataset Core,LSFDataset,,src\uni2ts\eval_util\_lsf_dataset.py
5. Dataset Core,MultiSampleTimeSeriesDataset,Samples multiple time series and stacks them into a single time series.,src\uni2ts\data\dataset.py
5. Dataset Core,SampleTimeSeriesType,How to sample from the dataset.,src\uni2ts\data\dataset.py
5. Dataset Core,TimeSeriesDataset,,src\uni2ts\data\dataset.py
5. Dataset Core,generate_pf_dataset,,src\uni2ts\eval_util\_pf_dataset.py
6. Feature Engineering,AddObservedMask,,src\uni2ts\transform\feature.py
6. Feature Engineering,AddSampleIndex,Add sample_id when sequence packing is not used. Follow the implementation in MoiraiForecast.,src\uni2ts\transform\feature.py
6. Feature Engineering,AddTimeIndex,Add time_id to data_entry,src\uni2ts\transform\feature.py
6. Feature Engineering,AddVariateIndex,Add variate_id to data_entry,src\uni2ts\transform\feature.py
6. Feature Engineering,RemoveFields,,src\uni2ts\transform\field.py
7. Loading & IO,BatchedSampleQueue,Queue data structure storing batched samples.,src\uni2ts\data\loader.py
7. Loading & IO,DataLoader,Wrapper on PyTorch's DataLoader class implementing:,src\uni2ts\data\loader.py
7. Loading & IO,Metadata,,src\uni2ts\data\loader.py
7. Loading & IO,get_data,,project\vn1_competition\prepare_data.py
7. Loading & IO,train_example_gen_func,,project\vn1_competition\prepare_data.py
7. Loading & IO,val_example_gen_func,,project\vn1_competition\prepare_data.py
9. General Data Utils,Indexer,Base class for all Indexers.,src\uni2ts\data\indexer\_base.py
9. General Data Utils,MetaData,,src\uni2ts\eval_util\data.py
9. General Data Utils,get_custom_eval_dataset,,src\uni2ts\eval_util\data.py
9. General Data Utils,get_gluonts_test_dataset,,src\uni2ts\eval_util\data.py
9. General Data Utils,get_gluonts_val_dataset,,src\uni2ts\eval_util\data.py
9. General Data Utils,get_lsf_test_dataset,,src\uni2ts\eval_util\data.py
9. General Data Utils,get_lsf_val_dataset,,src\uni2ts\eval_util\data.py
